item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,original_performance,perturbed_performance,absolute_performance_change,pdr,performance_dropped
code_generation_17,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_17,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_18,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_18,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_18,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_18,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_18,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_19,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_19,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_19,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_19,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_19,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_20,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_20,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_20,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_20,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_20,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_21,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_21,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_21,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_21,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_21,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_22,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_22,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_22,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_22,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_22,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_24,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_24,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_24,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_24,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_24,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_25,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_25,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_25,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_25,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_25,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_26,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_26,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_26,code_generation,paraphrasing,5,5,1.000000,0.400000,0.600000,0.600000,true
code_generation_26,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_26,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_27,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_27,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_27,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_27,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_27,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_28,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_28,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_28,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_28,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_28,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_29,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_29,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_29,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_29,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_29,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_3,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_3,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_3,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_3,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
