scope_type,scope_value,n,relationship,x,y,pearson,spearman,spearman_ci95_low,spearman_ci95_high,spearman_permutation_p_two_sided
task_perturbation,code_generation:surface_noise,10,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.6450128245735371,0.6092717958449424,0.17810413017402654,0.8866586276648858,0.07892107892107893
task_perturbation,code_generation:surface_noise,10,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,0.4751904587833726,0.24514516892273003,-0.4218971145918146,0.8606629658238705,0.6373626373626373
task_perturbation,factual_qa:context_injection,10,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.8849846507021011,0.7453559924999299,0.5976143046671969,1.0,0.12087912087912088
task_perturbation,factual_qa:context_injection,10,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.9693817082979895,0.75,0.5477225575051661,1.0,0.011988011988011988
task_perturbation,factual_qa:context_injection,10,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.3644054444067453,0.180981575189156,-0.42257712736425834,0.8629489272626913,0.5934065934065934
task_perturbation,factual_qa:context_injection,10,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,-0.8849846507021011,-0.7453559924999299,-1.0,-0.5976143046671969,0.12087912087912088
task_perturbation,factual_qa:context_injection,10,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,,,,,
task_perturbation,factual_qa:context_injection,10,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,,,,,
task_perturbation,factual_qa:context_injection,10,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,1.0000000000000002,0.5906244232186183,0.5477225575051661,1.0,0.09090909090909091
task_perturbation,factual_qa:context_injection,10,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,-0.1111111111111111,-0.1111111111111111,-0.32732683535398865,-0.1111111111111111,1.0
task_perturbation,factual_qa:formatting,10,primary,noise_corrected_drift,abs_repeated_pass_rate_change,-0.1668360365984996,-0.3922322702763681,-0.7171371656006362,-0.16666666666666666,0.46353646353646355
task_perturbation,factual_qa:formatting,10,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.42832105760817574,0.5238227218271836,0.116090865053143,0.8848357514644853,0.15884115884115885
task_perturbation,factual_qa:formatting,10,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.6651801416502358,0.13470397652008118,-0.6217395999412587,0.820412654142367,0.7842157842157842
task_perturbation,factual_qa:formatting,10,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,-0.1668360365984996,-0.3922322702763681,-0.7171371656006362,-0.16666666666666666,0.46353646353646355
task_perturbation,factual_qa:formatting,10,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,-0.1668360365984996,-0.3922322702763681,-0.7171371656006362,-0.16666666666666666,0.46353646353646355
task_perturbation,factual_qa:formatting,10,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,0.4283210576081757,0.5238227218271836,0.116090865053143,0.8848357514644853,0.15884115884115885
task_perturbation,factual_qa:formatting,10,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.9998856652623441,0.5388159060803247,0.5303300858899106,0.8827348295047495,0.12087912087912088
task_perturbation,factual_qa:formatting,10,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,-0.11122402439899974,-0.26148818018424536,-0.5521711796390237,-0.16563466499998442,0.8971028971028971
task_perturbation,factual_qa:paraphrase,10,primary,noise_corrected_drift,abs_repeated_pass_rate_change,-0.1655623360294769,0.19977432661993444,-0.4225771273642583,0.8606629658238705,0.6043956043956044
task_perturbation,factual_qa:paraphrase,10,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,-0.022590171552071926,0.5341637197842793,0.17733172553297716,0.939907801403125,0.14185814185814186
task_perturbation,factual_qa:paraphrase,10,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,-0.16621793840276616,0.3765416385364592,-0.17680690690577916,0.8629489272626913,0.33266733266733267
task_perturbation,factual_qa:paraphrase,10,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,-0.1655623360294769,0.19977432661993444,-0.4225771273642583,0.8606629658238705,0.6043956043956044
task_perturbation,factual_qa:paraphrase,10,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,-0.16556233602947693,0.14708710135363803,-0.4225771273642583,0.8219556978617836,0.7422577422577422
task_perturbation,factual_qa:paraphrase,10,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,-0.02259017155207194,0.528680532637681,0.17733172553297716,0.8905103504620051,0.16583416583416583
task_perturbation,factual_qa:paraphrase,10,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,,,,,
task_perturbation,factual_qa:paraphrase,10,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,,,,,
task_perturbation,factual_qa:reordering,10,primary,noise_corrected_drift,abs_repeated_pass_rate_change,,,,,
task_perturbation,factual_qa:reordering,10,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,,,,,
task_perturbation,factual_qa:reordering,10,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,,,,,
task_perturbation,factual_qa:reordering,10,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,,,,,
task_perturbation,factual_qa:reordering,10,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,,,,,
task_perturbation,factual_qa:reordering,10,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,,,,,
task_perturbation,factual_qa:reordering,10,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,,,,,
task_perturbation,factual_qa:reordering,10,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,,,,,
task_perturbation,factual_qa:surface_noise,10,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.9999999999452255,0.7453559924999299,0.5976143046671969,1.0,0.11488511488511488
task_perturbation,factual_qa:surface_noise,10,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.05061107430299903,0.433289122413121,0.18196863131170976,0.8971514045715161,0.2087912087912088
task_perturbation,factual_qa:surface_noise,10,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.9999999999452254,0.5590169943749475,0.5370861555295746,0.9097176522946842,0.11488511488511488
task_perturbation,factual_qa:surface_noise,10,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,0.9999999999452255,0.7453559924999299,0.5976143046671969,1.0,0.11488511488511488
task_perturbation,factual_qa:surface_noise,10,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,0.9999999999452254,0.7453559924999299,0.5976143046671969,1.0,0.11488511488511488
task_perturbation,factual_qa:surface_noise,10,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,0.05061107430299903,0.433289122413121,0.18196863131170976,0.8971514045715161,0.2087912087912088
task_perturbation,factual_qa:surface_noise,10,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.9999999999452254,0.5590169943749475,0.5370861555295746,0.9097176522946842,0.11488511488511488
task_perturbation,factual_qa:surface_noise,10,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,0.9999999999452254,0.7453559924999299,0.5976143046671969,1.0,0.11488511488511488
task_perturbation,math_reasoning:context_injection,10,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.308774650499084,0.38760854559127644,-0.2743170665992745,1.0,0.26673326673326675
